s2,s6,cema,general
https://22.215.58.170,https://22.215.59.130,https://22.215.59.150:9443,http://portal
http://portal,https://22.215.68.120,https://22.215.59.151,http://portal/INBN1/SitePages/Home.aspx
http://portal/INBN1/SitePages/Home.aspx,https://22.215.68.39,https://22.215.59.130,http://portal/1IBCT/SitePages/Home.aspx
http://portal/1IBCT/SitePages/Home.aspx,https://22.215.68.90:9000,https://22.215.90.187,http://portal/4DIV/SitePages/Home.aspx
http://portal/4DIV/SitePages/Home.aspx,http://portal,https://22.215.58.180,http://portal/1IBCT/_layouts/15/start.aspx#/SitePages/Home.aspx
http://portal/1IBCT/_layouts/15/start.aspx#/SitePages/Home.aspx,https://22.215.68.24/,https://22.215.90.186,http://portal/INBN1/_layouts/15/start.aspx#/SitePages/Home.aspx
http://portal/INBN1/_layouts/15/start.aspx#/SitePages/Home.aspx,http://portal/INBN1/SitePages/Home.aspx,https://22.215.68.90:9000,http://portal/4DIV/_layouts/15/start.aspx#/SitePages/Home.aspx
http://portal/4DIV/_layouts/15/start.aspx#/SitePages/Home.aspx,http://portal/1IBCT/SitePages/Home.aspx,https://22.215.59.129,http://portal/4DIV/_layouts/15/start.aspx#/Lists/Division%20Announcements/AllItems.aspx
http://portal/4DIV/_layouts/15/start.aspx#/Lists/Division%20Announcements/AllItems.aspx,http://portal/4DIV/SitePages/Home.aspx,http://portal,http://portal/4DIV/_layouts/15/start.aspx#/Lists/Division%20Phone%20Roster/AllItems.aspx
http://portal/4DIV/_layouts/15/start.aspx#/Lists/Division%20Phone%20Roster/AllItems.aspx,http://portal/1IBCT/_layouts/15/start.aspx#/SitePages/Home.aspx,http://portal/INBN1/SitePages/Home.aspx,http://portal/4DIV/_layouts/15/start.aspx#/Lists/RFI%20Tracker/AllItems.aspx
http://portal/4DIV/_layouts/15/start.aspx#/Lists/RFI%20Tracker/AllItems.aspx,http://portal/INBN1/_layouts/15/start.aspx#/SitePages/Home.aspx,http://portal/1IBCT/SitePages/Home.aspx,http://portal/INBN1/_layouts/15/start.aspx#/Shared%20Documents/Forms/AllItems.aspx
http://portal/INBN1/_layouts/15/start.aspx#/Shared%20Documents/Forms/AllItems.aspx,http://portal/4DIV/_layouts/15/start.aspx#/SitePages/Home.aspx,http://portal/4DIV/SitePages/Home.aspx,http://portal/INBN1/_layouts/15/start.aspx#/Lists/POC%20Listing/AllItems.aspx
http://portal/INBN1/_layouts/15/start.aspx#/Lists/POC%20Listing/AllItems.aspx,http://portal/4DIV/_layouts/15/start.aspx#/Lists/Division%20Announcements/AllItems.aspx,http://portal/1IBCT/_layouts/15/start.aspx#/SitePages/Home.aspx,http://portal/1IBCT/_layouts/15/start.aspx#/Lists/1%20BCT%20Contact%20Roster/AllItems.aspx
http://portal/1IBCT/_layouts/15/start.aspx#/Lists/1%20BCT%20Contact%20Roster/AllItems.aspx,http://portal/4DIV/_layouts/15/start.aspx#/Lists/Division%20Phone%20Roster/AllItems.aspx,http://portal/INBN1/_layouts/15/start.aspx#/SitePages/Home.aspx,http://portal/1IBCT/_layouts/15/start.aspx#/Lists/BCT%20Phone%20Roster/AllItems.aspx
http://portal/1IBCT/_layouts/15/start.aspx#/Lists/BCT%20Phone%20Roster/AllItems.aspx,http://portal/4DIV/_layouts/15/start.aspx#/Lists/RFI%20Tracker/AllItems.aspx,http://portal/4DIV/_layouts/15/start.aspx#/SitePages/Home.aspx,http://portal/1IBCT/_layouts/15/start.aspx#/Lists/3%20IBCT%20Calendar/calendar.aspx
http://portal/1IBCT/_layouts/15/start.aspx#/Lists/3%20IBCT%20Calendar/calendar.aspx,http://portal/INBN1/_layouts/15/start.aspx#/Shared%20Documents/Forms/AllItems.aspx,http://portal/4DIV/_layouts/15/start.aspx#/Lists/Division%20Announcements/AllItems.aspx,http://portal/1IBCT/_layouts/15/start.aspx#/Lists/Useful%20Links/Tiles.aspx
http://portal/1IBCT/_layouts/15/start.aspx#/Lists/Useful%20Links/Tiles.aspx,http://portal/INBN1/_layouts/15/start.aspx#/Lists/POC%20Listing/AllItems.aspx,http://portal/4DIV/_layouts/15/start.aspx#/Lists/Division%20Phone%20Roster/AllItems.aspx,http://portal/analyst/CQ_Observation_Reports/_layouts/15/start.aspx#/AAR_Comments/Forms/AllItems.aspx
http://portal/analyst/CQ_Observation_Reports/_layouts/15/start.aspx#/AAR_Comments/Forms/AllItems.aspx,http://portal/1IBCT/_layouts/15/start.aspx#/Lists/1%20BCT%20Contact%20Roster/AllItems.aspx,http://portal/4DIV/_layouts/15/start.aspx#/Lists/RFI%20Tracker/AllItems.aspx,http://portal/analyst/CQ_Observation_Reports/_layouts/15/start.aspx#/Focus_Questions/Forms/AllItems.aspx
http://portal/analyst/CQ_Observation_Reports/_layouts/15/start.aspx#/Focus_Questions/Forms/AllItems.aspx,http://portal/1IBCT/_layouts/15/start.aspx#/Lists/BCT%20Phone%20Roster/AllItems.aspx,http://portal/INBN1/_layouts/15/start.aspx#/Shared%20Documents/Forms/AllItems.aspx,http://portal/1IBCT/_layouts/15/start.aspx#/Lists/Trouble%20Ticket%20Tracker/AllItems.aspx
